tweet_id,username,number_of_followers,created_at,tweet_text,source,likes,retweets,user_location
931859053571137536,fawcettsociety,41048,2017-11-18 12:18:06,Rachel Crasnow speaking abt rights &amp; #Brexit. We've used EU law to pull British law up to standard. #feministfutures https://t.co/vfc3dEGf5M,Twitter for Android,0,0,UK
931859005491810304,BillyDann1,1645,2017-11-18 12:17:54,RT @PeterKGeoghegan: Just as well Irish politicians can’t read the UK press.... #brexit https://t.co/ek4tDBf4TA,Twitter for Android,0,117,London
931858962764435457,mjian,314,2017-11-18 12:17:44,RT @PeterKGeoghegan: Just as well Irish politicians can’t read the UK press.... #brexit https://t.co/ek4tDBf4TA,Twitter for iPhone,0,117,UK
931858955202113536,2016NJ1,198,2017-11-18 12:17:42,🔊 Blow the whistle 🔓@ #wikileaks #eagles #nygiants #nfl #netflix  #iTunes #Brexit #nyc #starbucks #uber #music… https://t.co/3jE5k8Ylwd,Twitter Web Client,0,1,
931858913863102468,AnneMcGuire97,5970,2017-11-18 12:17:32,"@TomBlenkinsop He was warned, warned and warned again by his own experts, campaign groups and Labour opposition. Hi… https://t.co/RVMxqxfl1G",Twitter for iPad,1,0,Scotland
931858899300438016,CarbonisedPleb,3904,2017-11-18 12:17:29,"RT @SW11simon: If, as rumoured, #DavidDavis throws in the towel, who should replace him?
#Brexit",Twitter Web Client,0,17,Isle of Wight
931858865427222528,FreakyFritsch,262,2017-11-18 12:17:21,RT @Far_Right_Watch: #Brexit ... The Reasons ... By @SKZCartoons. https://t.co/BqniHnHIww,Twitter for Windows,0,34,
931858840982904832,Waterloosunrise,319,2017-11-18 12:17:15,"RT @Trump_ton: Dear MPs.

I am just about sick and tired of this.

If you oppose the idea of #Brexit, regardless of what your leadership th…",Twitter for iPad,0,149,Halifax
931858804744089605,dommerrix,469,2017-11-18 12:17:06,@eucopresident @theresa_may I would never bow down like the weak Teresa May. The UK owes your failing organisation… https://t.co/ug1WTaYt2m,Twitter for iPhone,0,0,
931858789103435776,RichardThomas37,1393,2017-11-18 12:17:03,The essence of a democracy is that there is never a ‘point of no return.’ #brexit #brexitchaos #brexitshambles… https://t.co/AHaJye0GIL,Twitter for iPhone,0,0,"Sussex,"
931858787891326976,Cupkatech3rry,4367,2017-11-18 12:17:02,"RT @SW11simon: If, as rumoured, #DavidDavis throws in the towel, who should replace him?
#Brexit",Twitter for iPad,0,17,✿:¦:❤-•:*Ƹ̵̡Ӝ̵̨̄Ʒ*:•-❤:¦:✿
931858785697705984,salib0329,687,2017-11-18 12:17:02,"RT @GorettiSimon: I would love for moron @DavidDavisMP to detail exactly how he imagines the UK will have greater prosperity after #Brexit,…",Twitter for Windows,0,9,"Wales, United Kingdom"
931858767859339264,KateJohnston3,370,2017-11-18 12:16:58,RT @CYPCS: Young people at #YPHRG are concerned that #Brexit creates a big period of uncertainty for them and their rights— and that it was…,Twitter for iPad,0,2,
931858739174535168,cortina190,228,2017-11-18 12:16:51,RT @jurygroup: Do you believe that Germany and France have been the issue with unreasonable negotiations going forward with #Brexit? @David…,Twitter for iPad,0,114,Essex
931858732690100224,owltan74,248,2017-11-18 12:16:49,RT @YesBrexit: Are you planning to start soon @theresa_may ? #Brexit https://t.co/wfJJI2j4ji,Twitter for iPad,0,87,United Kingdom
931858725010251776,ptescolln,77,2017-11-18 12:16:47,RT @PeterKGeoghegan: Just as well Irish politicians can’t read the UK press.... #brexit https://t.co/ek4tDBf4TA,Twitter for Android,0,117,
931858718429499392,AndrewS26169,40,2017-11-18 12:16:46,RT @docrussjackson: 61% of leave voters agree “significant damage to the British economy” is worth it for #Brexit. Asked would it be worth…,Twitter for Android,0,34,"Milton Keynes, England"
931858677472071683,official_curran,191,2017-11-18 12:16:36,"RT @nicktolhurst: TThe language from the Sun here today on the Irish Govt &amp; Ireland is utterly indefensible, especially as its on #Brexit p…",Twitter for Android,0,24,Wherever I am
931858636531527680,AcademyOfRock,12592,2017-11-18 12:16:26,"RT @ColebrookColin: Why are Corbyn and Labour leadership are so keen to ally themselves with hard right Tories on #Brexit?
This excellent p…",Twitter for Android,0,1,Worldwide Network
931858633691889666,GoldenAgeTC,223,2017-11-18 12:16:26,#HidingHeidi reviewed: ★★★★ https://t.co/fNsPyYp4WR “Dixon Potter is grabbing his audience and shaking them to say… https://t.co/QeE69KkV0V,Twitter Web Client,1,1,"Camden Town, London"
931858613529972736,DinasDevil,551,2017-11-18 12:16:21,"In black &amp; white, with a touch of lemon. 

Why on Earth has our government let this unnecessary &amp; wholly destructiv… https://t.co/fk2ESAyNos",Twitter for iPhone,0,0,Breizh / Cymru 
